Fecha,Aeropuerto,RiesgoImportado
2020-02-09,Josep Tarradellas Barcelona-El Prat (BCN),0.0055117155400580785
2020-02-10,Josep Tarradellas Barcelona-El Prat (BCN),0.008214397940425432
2020-02-11,Josep Tarradellas Barcelona-El Prat (BCN),0.005599152373602357
2020-02-12,Josep Tarradellas Barcelona-El Prat (BCN),0.003565987841885603
2020-02-13,Josep Tarradellas Barcelona-El Prat (BCN),0.007005129986353253
2020-02-14,Josep Tarradellas Barcelona-El Prat (BCN),0.007488765988947171
2020-02-15,Josep Tarradellas Barcelona-El Prat (BCN),0.004058453254129166
2020-02-16,Josep Tarradellas Barcelona-El Prat (BCN),0.005082473454857945
2020-02-17,Josep Tarradellas Barcelona-El Prat (BCN),0.01153091624769015
2020-02-18,Josep Tarradellas Barcelona-El Prat (BCN),0.006634711206479304
2020-02-19,Josep Tarradellas Barcelona-El Prat (BCN),0.004053413005984481
2020-02-20,Josep Tarradellas Barcelona-El Prat (BCN),0.011368547863900338
2020-02-21,Josep Tarradellas Barcelona-El Prat (BCN),0.011706065773433747
2020-02-22,Josep Tarradellas Barcelona-El Prat (BCN),0.013857071653110257
2020-02-23,Josep Tarradellas Barcelona-El Prat (BCN),0.02605262140199425
2020-02-24,Josep Tarradellas Barcelona-El Prat (BCN),0.037337965489983284
2020-02-25,Josep Tarradellas Barcelona-El Prat (BCN),0.03163887773710491
2020-02-26,Josep Tarradellas Barcelona-El Prat (BCN),0.04813951413696779
2020-02-27,Josep Tarradellas Barcelona-El Prat (BCN),0.07693326643234762
2020-02-28,Josep Tarradellas Barcelona-El Prat (BCN),0.1103906285955831
2020-02-29,Josep Tarradellas Barcelona-El Prat (BCN),0.13042882148356594
2020-02-01,Adolfo Suárez Madrid-Barajas (MAD),0.003554113947215787
2020-02-02,Adolfo Suárez Madrid-Barajas (MAD),0.0055351118034102816
2020-02-03,Adolfo Suárez Madrid-Barajas (MAD),0.0061140038163711875
2020-02-04,Adolfo Suárez Madrid-Barajas (MAD),0.0026291206513628265
2020-02-05,Adolfo Suárez Madrid-Barajas (MAD),0.0046551082859787336
2020-02-06,Adolfo Suárez Madrid-Barajas (MAD),0.007671773312454162
2020-02-07,Adolfo Suárez Madrid-Barajas (MAD),0.005470357679507905
2020-02-08,Adolfo Suárez Madrid-Barajas (MAD),0.00624194826062247
2020-02-09,Adolfo Suárez Madrid-Barajas (MAD),0.009879268742973605
2020-02-10,Adolfo Suárez Madrid-Barajas (MAD),0.006757746639598339
2020-02-11,Adolfo Suárez Madrid-Barajas (MAD),0.00387552951527402
2020-02-12,Adolfo Suárez Madrid-Barajas (MAD),0.007331350783791189
2020-02-13,Adolfo Suárez Madrid-Barajas (MAD),0.008310614310368176
2020-02-14,Adolfo Suárez Madrid-Barajas (MAD),0.0050879829453021955
2020-02-15,Adolfo Suárez Madrid-Barajas (MAD),0.004390924991904644
2020-02-16,Adolfo Suárez Madrid-Barajas (MAD),0.012107277207041793
2020-02-17,Adolfo Suárez Madrid-Barajas (MAD),0.00519661643464796
2020-02-18,Adolfo Suárez Madrid-Barajas (MAD),0.005200656783640253
2020-02-19,Adolfo Suárez Madrid-Barajas (MAD),0.004472213761780542
2020-02-20,Adolfo Suárez Madrid-Barajas (MAD),0.009256264248509068
2020-02-21,Adolfo Suárez Madrid-Barajas (MAD),0.007558124103885729
2020-02-22,Adolfo Suárez Madrid-Barajas (MAD),0.011013849754811567
2020-02-23,Adolfo Suárez Madrid-Barajas (MAD),0.02850887979020535
2020-02-24,Adolfo Suárez Madrid-Barajas (MAD),0.028888291625679578
2020-02-25,Adolfo Suárez Madrid-Barajas (MAD),0.036961267491893136
2020-02-26,Adolfo Suárez Madrid-Barajas (MAD),0.05041470005266204
2020-02-27,Adolfo Suárez Madrid-Barajas (MAD),0.09164550731780606
2020-02-28,Adolfo Suárez Madrid-Barajas (MAD),0.11148479997048089
2020-02-29,Adolfo Suárez Madrid-Barajas (MAD),0.13413086349511502
