DistritoSanitario,Poblacion
Conjunto Castilla Leon 44,13060.0
Conjunto Castilla Leon 45,9559.0
Conjunto Castilla Leon 46,5905.0
Conjunto Castilla Leon 47,3708.0
Conjunto Castilla Leon 48,9819.0
Conjunto Castilla Leon 49,11265.0
Conjunto Castilla Leon 5,57949.0
Conjunto Castilla Leon 50,9298.0
Conjunto Castilla Leon 51,2533.0
Conjunto Castilla Leon 52,10676.0
Conjunto Castilla Leon 53,2552.0
Conjunto Castilla Leon 54,2344.0
Conjunto Castilla Leon 55,3100.0
Conjunto Castilla Leon 56,7340.0
Conjunto Castilla Leon 57,7823.0
Conjunto Castilla Leon 58,1684.0
Conjunto Castilla Leon 59,2794.0
Conjunto Castilla Leon 6,33084.0
Conjunto Castilla Leon 60,8790.0
Conjunto Castilla Leon 61,4901.0
Conjunto Castilla Leon 62,9476.0
Conjunto Castilla Leon 63,4376.0
Conjunto Castilla Leon 64,3880.0
Conjunto Castilla Leon 65,29012.0
Conjunto Castilla Leon 66,2379.0
Conjunto Castilla Leon 67,2785.0
Conjunto Castilla Leon 68,8116.0
Conjunto Castilla Leon 69,20271.0
Conjunto Castilla Leon 7,42644.0
Conjunto Castilla Leon 70,3342.0
Conjunto Castilla Leon 71,6267.0
Conjunto Castilla Leon 72,2237.0
Conjunto Castilla Leon 73,5284.0
Conjunto Castilla Leon 74,9823.0
Conjunto Castilla Leon 75,12900.0
Conjunto Castilla Leon 76,2634.0
Conjunto Castilla Leon 77,193825.0
Conjunto Castilla Leon 78,2936.0
Conjunto Castilla Leon 79,35528.0
Conjunto Castilla Leon 8,189152.0
Conjunto Castilla Leon 80,3746.0
Conjunto Castilla Leon 81,127273.0
Conjunto Castilla Leon 82,3848.0
Conjunto Castilla Leon 83,9138.0
Conjunto Castilla Leon 84,4345.0
Conjunto Castilla Leon 85,4404.0
Conjunto Castilla Leon 86,77090.0
Conjunto Castilla Leon 87,6693.0
Conjunto Castilla Leon 88,16847.0
Conjunto Castilla Leon 89,10275.0
Conjunto Castilla Leon 9,1929.0
Conjunto Castilla Leon 90,2325.0
Conjunto Castilla Leon 91,14252.0
Conjunto Castilla Leon 92,5237.0
Conjunto Castilla Leon 93,1054.0
Conjunto Castilla Leon 94,2084.0
Conjunto Castilla Leon 95,1415.0
Conjunto Castilla Leon 96,6148.0
Conjunto Castilla Leon 97,31620.0
Conjunto Castilla Leon 98,22418.0
Conjunto Castilla Leon 99,60297.0
Córdoba (distrito),322071.0
Córdoba Norte,43010.0
Córdoba Sur,213736.0
Costa del Sol,370524.0
Cuencas Mineras,7840.0
El Hierro,10248.0
Fuerteventura,119662.0
Gran Canaria,843781.0
Granada (distrito),231775.0
Granada Nordeste,52685.0
Granada Sur,114288.0
Guadalquivir,68784.0
Gúdar-Javalambre,7575.0
Hoya De Huesca / Plana De Uesca,68858.0
Huelva-Costa,274088.0
I,42084.0
II,24716.0
III,68001.0
IV,328483.0
